date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:57	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Oct%202023%2001:23:56%20GMT	https://web.archive.org/robots.txt		(from )
21:23:59	317632/317632	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2001:23:59%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/	web.archive.org/web/20150331235833/https_/www.youtube.com/index.html	(from )
21:24:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:00%20GMT	http://web.archive.org/web/20150331235833/https://www.youtube.com/upload	web.archive.org/web/20150331235833/https_/www.youtube.com/upload.0.delayed	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:01%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/feed/music	web.archive.org/web/20150331235833/https_/www.youtube.com/feed/music	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:02%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UCF0pVplsI8R5kcAqgtoRqoA	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UCF0pVplsI8R5kcAqgtoRqoA	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:04%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:05%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:06%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UCOpNcN46UbXVtpKMrmU4Abg	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UCOpNcN46UbXVtpKMrmU4Abg	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:06%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UC3yA8nDwraeOfnYfBWun83g	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UC3yA8nDwraeOfnYfBWun83g	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:08%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UCczhp4wznQWonO7Pb8HQ2MQ	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UCczhp4wznQWonO7Pb8HQ2MQ	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:09%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UCl8dMTqDrJQ0c8y23UBu4kQ	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UCl8dMTqDrJQ0c8y23UBu4kQ	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
21:24:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2002%20Oct%202023%2001:24:10%20GMT	https://web.archive.org/web/20150331235833/https://www.youtube.com/channel/UCYfdidRxbB8Qhf0Nx7ioOYw	web.archive.org/web/20150331235833/https_/www.youtube.com/channel/UCYfdidRxbB8Qhf0Nx7ioOYw	(from https://web.archive.org/web/20150331235833/https://www.youtube.com/)
